"TreeDepth","Offset","Name","Size"
0,"0x868fd078d400","\Windows\servicing\InboxFodMetadataCache\metadata\Language.Fonts.Kore~und-Kore~1.0.mum",216
0,"0x868fd078d590","\Windows\System32\devobj.dll",216
0,"0x868fd078d720","\Windows\System32\EventAggregation.dll",216
0,"0x868fd078da40","\Windows\System32\lsass.exe",216
0,"0x868fd078dbd0","\Windows\WinSxS\amd64_dual_ntprint4.inf_31bf3856ad364e35_10.0.17763.1_none_3b13f7c4da61a00d\Amd64\MSxpsPS.dll17763.1_none_3b13f7c4da61a00d\Amd64_MSxpsPS.dll",216
0,"0x868fd078def0","\Windows\System32\dpapi.dll",216
0,"0x868fd078e080","\Windows\System32\winsta.dll",216
0,"0x868fd078e3a0","\Windows\servicing\InboxFodMetadataCache\metadata\Language.Fonts.Khmr~und-Khmr~1.0.mum",216
0,"0x868fd078e530","\CMApi",216
0,"0x868fd078e6c0","\Windows\WinSxS\amd64_dual_rdvgwddmdx11.inf_31bf3856ad364e35_10.0.17763.1_none_f5eacb26e053cd47\opencl.dll5_10.0.17763.1_none_f5eacb26e053cd47\opencl.dll",216
0,"0x868fd078e9e0","\Windows\System32\lsasrv.dll",216
0,"0x868fd078ee90","\Windows\System32",216
0,"0x868fd078f1b0","\Windows\System32\samsrv.dll",216
0,"0x868fd078f340","\Windows\System32\ncrypt.dll",216
0,"0x868fd078f4d0","\Windows\System32\ntasn1.dll",216
0,"0x868fd078f660","\Windows\System32\wldp.dll",216
0,"0x868fd078f7f0","\Windows\System32\en-US\lsasrv.dll.mui",216
0,"0x868fd078fb10","\Windows\System32\msprivs.dll",216
0,"0x868fd078fca0","\$Directory",216
0,"0x868fd0790150","\Windows\servicing\InboxFodMetadataCache\metadata\Language.Fonts.Laoo~und-Laoo~1.0.mum",216
0,"0x868fd07902e0","\Windows\System32\NtlmShared.dll",216
0,"0x868fd0790470","\Windows\System32\cryptbase.dll",216
0,"0x868fd0790600","\Windows\System32\cryptdll.dll",216
0,"0x868fd0790790","\Windows\System32\netutils.dll",216
0,"0x868fd0790920","\Windows\System32\kerberos.dll",216
0,"0x868fd0790ab0","\Windows\System32\netprovfw.dll",216
0,"0x868fd0790c40","\Windows\System32\cloudAP.dll",216
0,"0x868fd07910f0","\Windows\Globalization\Sorting\SortDefault.nls",216
0,"0x868fd0791280","\Windows\System32\logoncli.dll",216
0,"0x868fd0791410","\$Directory",216
0,"0x868fd07915a0","\$Directory",216
0,"0x868fd07918c0","\Windows\System32\rsaenh.dll",216
0,"0x868fd0791a50","\Windows\System32\negoexts.dll",216
0,"0x868fd0791be0","\Windows\System32\KerbClientShared.dll",216
0,"0x868fd0791d70","\Windows\System32\IPHLPAPI.DLL",216
0,"0x868fd0792090","\Windows\System32\netlogon.dll",216
0,"0x868fd0792220","\Windows\System32\TSpkg.dll",216
0,"0x868fd07923b0","\Windows\System32\pku2u.dll",216
